Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
14,Brandon Williams,25,PG,13,0,85,5.9,13.6,0.438,1.3,4.2,0.3,4.7,9.3,0.5,0.484,3.4,4.7,0.727,0.8,2.5,3.4,3.8,0.8,0.0,2.5,1.7,16.5,DAL
15,Jazian Gortman,21,PG,15,0,55,5.9,15.1,0.391,2.6,7.2,0.364,3.3,7.9,0.417,0.478,1.3,2.6,0.5,0.7,2.6,3.3,3.9,1.3,0.7,3.3,5.9,15.7,DAL
16,Kessler Edwards,24,SF,14,0,51,1.4,7.1,0.2,0.0,4.2,0.0,1.4,2.8,0.5,0.2,0.0,0.0,,0.0,3.5,3.5,1.4,1.4,0.7,0.7,3.5,2.8,DAL
17,Markieff Morris,35,PF,5,0,25,5.8,20.2,0.286,2.9,10.1,0.286,2.9,10.1,0.286,0.357,0.0,0.0,,0.0,8.6,8.6,4.3,0.0,1.4,2.9,1.4,14.4,DAL
1,Jaren Jackson Jr.,25,C,42,42,1233,10.1,20.6,0.491,2.1,6.3,0.336,8.0,14.3,0.559,0.542,5.3,6.8,0.781,1.8,6.0,7.8,2.5,1.8,2.0,2.7,4.1,27.7,MEM
2,Jaylen Wells,21,SG,44,39,1152,5.7,13.0,0.44,2.7,7.1,0.388,3.0,5.9,0.503,0.546,2.1,2.6,0.829,1.5,3.0,4.5,2.3,0.7,0.2,1.5,2.6,16.3,MEM
3,Desmond Bane,26,SG,35,34,1042,8.0,16.1,0.496,2.7,7.1,0.385,5.3,9.0,0.582,0.58,2.7,3.1,0.865,1.0,5.7,6.7,6.4,1.6,0.6,3.0,3.0,21.4,MEM
4,Scotty Pippen Jr.,24,PG,44,16,950,6.1,13.1,0.47,1.8,4.8,0.37,4.4,8.3,0.528,0.538,2.3,3.4,0.674,1.2,4.3,5.5,7.7,2.0,0.6,3.1,4.2,16.3,MEM
5,Santi Aldama,24,PF,38,11,944,7.2,14.6,0.492,2.5,6.7,0.369,4.7,7.9,0.596,0.577,1.6,2.2,0.707,2.3,7.8,10.0,3.9,1.3,0.7,1.7,1.4,18.5,MEM
6,Jake LaRavia,23,PF,42,0,915,4.4,9.0,0.491,1.5,3.4,0.437,3.0,5.6,0.524,0.574,2.5,3.5,0.711,2.4,5.0,7.3,5.1,1.4,0.7,2.5,3.3,12.9,MEM
7,Brandon Clarke,28,PF,41,18,760,6.5,10.7,0.613,0.0,0.8,0.063,6.5,9.9,0.656,0.616,1.6,2.3,0.673,3.4,6.2,9.6,1.9,1.6,1.0,1.1,4.6,14.7,MEM
8,Ja Morant,25,PG,26,26,743,9.0,20.2,0.447,1.9,6.2,0.307,7.1,14.0,0.509,0.494,6.6,8.1,0.815,0.8,4.6,5.4,9.7,1.6,0.4,4.9,2.3,26.6,MEM
9,Luke Kennard,28,SG,31,1,668,5.2,10.9,0.473,3.7,7.7,0.479,1.5,3.3,0.459,0.64,1.8,2.0,0.895,1.2,4.0,5.2,5.3,1.0,0.1,1.6,1.5,15.8,MEM
10,Zach Edey,22,C,30,23,616,6.7,11.6,0.578,0.6,1.7,0.379,6.1,9.9,0.612,0.606,2.0,3.3,0.625,5.6,7.1,12.7,1.5,1.1,1.8,2.7,4.9,16.1,MEM
11,Jay Huff,26,C,39,1,554,7.7,14.6,0.527,4.0,9.6,0.419,3.6,4.9,0.737,0.665,2.4,3.1,0.771,1.4,4.8,6.2,1.8,0.7,2.5,1.8,4.0,21.8,MEM
12,Marcus Smart,30,PG,18,6,382,5.0,13.4,0.373,2.7,8.2,0.333,2.3,5.2,0.436,0.475,2.8,3.4,0.833,1.3,2.6,4.0,6.5,2.2,0.6,3.2,2.8,15.5,MEM
13,John Konchar,28,SG,22,3,313,2.6,6.7,0.397,1.4,4.7,0.293,1.3,2.0,0.647,0.5,0.6,0.7,0.833,2.9,7.7,10.6,3.0,1.5,1.2,1.2,2.6,7.2,MEM
